question,question_id,question_type,answer
What are the symptoms of Anxiety Disorders ?,0000005-2,symptoms,"Excessive, Irrational Fear Each anxiety disorder has different symptoms, but all the symptoms cluster around excessive, irrational fear and dread. Unlike the relatively mild, brief anxiety caused by a specific event (such as speaking in public or a first date), severe anxiety that lasts at least six months is generally considered to be problem that might benefit from evaluation and treatment. Anxiety disorders commonly occur along with other mental or physical illnesses, including alcohol or substance abuse, which may mask anxiety symptoms or make them worse. In older adults, anxiety disorders often occur at the same time as depression, heart disease, diabetes, and other medical problems. In some cases, these other problems need to be treated before a person can respond well to treatment for anxiety. Symptoms of Generalized Anxiety Disorder (GAD) GAD develops slowly. It often starts during the teen years or young adulthood. Symptoms may get better or worse at different times, and often are worse during times of stress. People with GAD cant seem to get rid of their concerns, even though they usually realize that their anxiety is more intense than the situation warrants. They cant relax, startle easily, and have difficulty concentrating. Often they have trouble falling asleep or staying asleep. Physical symptoms that often accompany the anxiety include - fatigue  - headaches  - muscle tension  - muscle aches  - difficulty swallowing  - trembling  - twitching  - irritability  - sweating  -  nausea  - lightheadedness  - having to go to the bathroom frequently  - feeling out of breath  -  hot flashes.  fatigue headaches muscle tension muscle aches difficulty swallowing trembling twitching irritability sweating nausea lightheadedness having to go to the bathroom frequently feeling out of breath hot flashes. When their anxiety level is mild, people with GAD can function socially and hold down a job. Although they dont avoid certain situations as a result of their disorder, people with GAD can have difficulty carrying out the simplest daily activities if their anxiety is severe. Symptoms of Social Phobia In social phobia, a person fears being judged by others or of being embarrassed. This fear can get in the way of doing everyday things such as going to work, running errands or meeting with friends. People who have social phobia often know that they shouldn't be so afraid, but they can't control their fear. People with social phobia tend to -  be very anxious about being with other people and have a hard time talking to them, even though they wish they could  - be very self-conscious in front of other people and feel embarrassed  - be very afraid that other people will judge them  - worry for days or weeks before an event where other people will be  - stay away from places where there are other people  - have a hard time making friends and keeping friends  -  blush, sweat, or tremble around other people  -  feel nauseous or sick to their stomach when with other people. be very anxious about being with other people and have a hard time talking to them, even though they wish they could be very self-conscious in front of other people and feel embarrassed be very afraid that other people will judge them worry for days or weeks before an event where other people will be stay away from places where there are other people have a hard time making friends and keeping friends blush, sweat, or tremble around other people feel nauseous or sick to their stomach when with other people. Symptoms of Panic Disorder In panic disorder, a person has sudden, unexplained attacks of terror, and often feels his or her heart pounding. During a panic attack, a person feels a sense of unreality, a fear of impending doom, or a fear of losing control. Panic attacks can occur at any time. People with panic disorder may have - sudden and repeated attacks of fear  - a feeling of being out of control during a panic attack  - an intense worry about when the next attack will happen  - a fear or avoidance of places where panic attacks have occurred in the past  - physical symptoms during an attack, such as a pounding or racing heart, sweating, breathing problems, weakness or dizziness, feeling hot or a cold chill, tingly or numb hands, chest pain, or stomach pain.  sudden and repeated attacks of fear a feeling of being out of control during a panic attack an intense worry about when the next attack will happen a fear or avoidance of places where panic attacks have occurred in the past physical symptoms during an attack, such as a pounding or racing heart, sweating, breathing problems, weakness or dizziness, feeling hot or a cold chill, tingly or numb hands, chest pain, or stomach pain. Seeking Treatment Anxiety disorders are treatable. If you think you have an anxiety disorder, talk to your doctor. If your doctor thinks you may have an anxiety disorder, the next step is usually seeing a mental health professional. It is advisable to seek help from professionals who have particular expertise in diagnosing and treating anxiety. Certain kinds of cognitive and behavioral therapy and certain medications have been found to be especially helpful for anxiety."
How to diagnose Anxiety Disorders ?,0000005-3,exams and tests,"Anxiety disorders sometimes run in families, but no one knows for sure why some people have them while others don't. Anxiety disorders are more common among younger adults than older adults, and they typically start in early life. However, anyone can develop an anxiety disorder at any time. Below are risk factors for these anxiety disorders. - Generalized Anxiety Disorder (GAD)  -  Social Anxiety Disorder (Social Phobia)  - Panic Disorder Generalized Anxiety Disorder (GAD) Social Anxiety Disorder (Social Phobia) Panic Disorder Generalized Anxiety Disorder - Risk Factors Generalized anxiety disorder (GAD) affects about 6.8 million American adults, including twice as many women as men. The disorder develops gradually and can begin at any point in the life cycle, although the years of highest risk are between childhood and middle age. The average age of onset is 31 years old. Social Phobia - Risk Factors Social phobia affects about 15 million American adults. Women and men are equally likely to develop the disorder, which usually begins in childhood or early adolescence. There is some evidence that genetic factors are involved. Panic Disorder - Risk Factors Panic disorder affects about 6 million American adults and is twice as common in women as men. Panic attacks often begin in late adolescence or early adulthood, but not everyone who experiences panic attacks will develop panic disorder. Many people have just one attack and never have another. The tendency to develop panic attacks appears to be inherited. Diagnosis Can Be Difficult There are a number of reasons why it can be difficult to accurately diagnose an anxiety disorder in older adults. - Anxiety disorders among older adults frequently occur at the same time as other illnesses such as depression, diabetes, heart disease, or a number of other medical illnesses. Problems with cognition (thinking) and changes in life circumstances can also complicate matters. Sometimes the physical signs of these illnesses can get mixed up with the symptoms of anxiety, making it difficult to determine if a person has a true anxiety disorder. For instance, a person with heart disease sometimes has chest pain, which can also be a symptom of a panic disorder.  Anxiety disorders among older adults frequently occur at the same time as other illnesses such as depression, diabetes, heart disease, or a number of other medical illnesses. Problems with cognition (thinking) and changes in life circumstances can also complicate matters. Sometimes the physical signs of these illnesses can get mixed up with the symptoms of anxiety, making it difficult to determine if a person has a true anxiety disorder. For instance, a person with heart disease sometimes has chest pain, which can also be a symptom of a panic disorder. -  Doctors can have difficulty distinguishing between anxiety caused by adapting to difficult life changes, and a true anxiety disorder. For example, if you fell and broke a hip, you may be justifiably fearful of going out for a while. But that would not mean you have developed an anxiety disorder. Doctors can have difficulty distinguishing between anxiety caused by adapting to difficult life changes, and a true anxiety disorder. For example, if you fell and broke a hip, you may be justifiably fearful of going out for a while. But that would not mean you have developed an anxiety disorder. - Sometimes the worrying symptoms of a medical illness can lead to an anxiety disorder. Or, sometimes the side effects of medication can cause anxiety. Also, a disability or a change in lifestyle caused by a medical illness may lead to an anxiety disorder. Muscle tightness, feeling very tense all the time, and difficulty sleeping can also be symptoms of a physical illness or an anxiety disorder, complicating diagnosis. Sometimes the worrying symptoms of a medical illness can lead to an anxiety disorder. Or, sometimes the side effects of medication can cause anxiety. Also, a disability or a change in lifestyle caused by a medical illness may lead to an anxiety disorder. Muscle tightness, feeling very tense all the time, and difficulty sleeping can also be symptoms of a physical illness or an anxiety disorder, complicating diagnosis. Diagnosis Here is how these anxiety disorders are diagnosed. - Generalized Anxiety Disorder (GAD)  - Panic Disorder  - Social Anxiety Disorder (Social Phobia) Generalized Anxiety Disorder (GAD) Panic Disorder Social Anxiety Disorder (Social Phobia) Generalized Anxiety Disorder (GAD) - Diagnosis GAD can be diagnosed once a person worries excessively about a variety of everyday problems for at least 6 months. People with GAD may visit a doctor many times before they find out they have this disorder. They ask their doctors to help them with headaches or trouble falling asleep, which can be symptoms of GAD, but they don't always get the help they need right away. It may take doctors some time to be sure that a person has GAD instead of something else. Social Phobia - Diagnosis A doctor can tell that a person has social phobia if the person has had symptoms for at least 6 months. Social phobia usually starts during youth. Without treatment, it can last for many years or a lifetime. Panic Disorder - Diagnosis People with panic disorder may sometimes go from doctor to doctor for years and visit the emergency room repeatedly before someone correctly diagnoses their condition. This is unfortunate, because panic disorder is one of the most treatable of all the anxiety disorders, responding in most cases to certain kinds of medication or certain kinds of cognitive psychotherapy, which help change thinking patterns that lead to fear and anxiety. If You Have Symptoms Anxiety disorders are treatable. If you think you have an anxiety disorder, talk to your family doctor. Your doctor should do an exam to make sure that another physical problem isn't causing the symptoms. The doctor may refer you to a mental health specialist. You should feel comfortable talking with the mental health specialist you choose. If you do not, seek help elsewhere. Once you find a mental health specialist you are comfortable with, you should work as a team and make a plan to treat your anxiety disorder together. Talk About About Past Treatment People with anxiety disorders who have already received treatment for an anxiety disorder should tell their doctor about that treatment in detail. If they received medication, they should tell their doctor what medication was used, what the dosage was at the beginning of treatment, whether the dosage was increased or decreased while they were under treatment, what side effects may have occurred, and whether the treatment helped them become less anxious. If they received psychotherapy, they should describe the type of therapy, how often they attended sessions, and whether the therapy was useful."
what research (or clinical trials) is being done for Anxiety Disorders ?,0000005-6,research,"Clinical trials are part of clinical research and at the heart of all treatment advances. Clinical trials look at new ways to prevent, detect, or treat disease. The National Institute of Mental Health at NIH supports research studies on mental health and disorders. To learn how clinical trials work, see  Participating in Clinical Trials. To see NIH-funded studies currently recruiting participants in anxiety disorders, visit www.ClinicalTrials.gov  and type in ""anxiety disorders."" Clinical Trials.gov is the NIH/National Library of Medicine's registry of federally and privately funded clinical trials for all disease. To see personal stories of people who have volunteered for clinical trials, visit  NIH Clinical Trials Research and You."
How many people are affected by Anxiety Disorders ?,0000005-9,frequency,Studies estimate that anxiety disorders affect around 15 percent of older adults in a given year. More women than men experience anxiety disorders. They tend to be less common among older adults than younger adults. But developing an anxiety disorder late in life is not a normal part of aging.
What is (are) Anxiety Disorders ?,0000005-11,information,"Anxiety disorders are a collection of disorders that include generalized anxiety disorder (GAD), social phobia, and panic disorder."
What is (are) Anxiety Disorders ?,0000005-12,information,"All of us worry about things like health, money, or family problems. But people with generalized anxiety disorder (GAD) are extremely worried about these and many other things, even when there is little or no reason to worry about them. They are very anxious about just getting through the day. They think things will always go badly. At times, worrying keeps people with GAD from doing everyday tasks. People with GAD cant seem to get rid of their concerns, even though they usually realize that their anxiety is more intense than the situation warrants. They cant relax, startle easily, and have difficulty concentrating. Often they have trouble falling asleep or staying asleep. Physical symptoms that often accompany the anxiety include fatigue, headaches, muscle tension, muscle aches, difficulty swallowing, trembling, twitching, irritability, sweating, nausea, lightheadedness, having to go to the bathroom frequently, feeling out of breath, and hot flashes. When their anxiety level is mild, people with GAD can function socially and hold down a job. Although they dont avoid certain situations as a result of their disorder, people with GAD can have difficulty carrying out the simplest daily activities if their anxiety is severe.  Learn more about generalized anxiety disorder (GAD)."
What is (are) Anxiety Disorders ?,0000005-13,information,"In social phobia, a person fears being judged by others or of being embarrassed. This fear can get in the way of doing everyday things such as going to work, running errands or meeting with friends. People who have social phobia often know that they shouldn't be so afraid, but they can't control their fear. People with social phobia tend to -  be very anxious about being with other people and have a hard time talking to them, even though they wish they could  - be very self-conscious in front of other people and feel embarrassed  - be very afraid that other people will judge them  - worry for days or weeks before an event where other people will be  - stay away from places where there are other people  - have a hard time making friends and keeping friends  -  blush, sweat, or tremble around other people  -  feel nauseous or sick to their stomach when with other people. be very anxious about being with other people and have a hard time talking to them, even though they wish they could be very self-conscious in front of other people and feel embarrassed be very afraid that other people will judge them worry for days or weeks before an event where other people will be stay away from places where there are other people have a hard time making friends and keeping friends blush, sweat, or tremble around other people feel nauseous or sick to their stomach when with other people.  Learn more about social phobia."
What is (are) Anxiety Disorders ?,0000005-14,information,"In panic disorder, a person has sudden, unexplained attacks of terror, and often feels his or her heart pounding. During a panic attack, a person feels a sense of unreality, a fear of impending doom, or a fear of losing control. Panic attacks can occur at any time. People with panic disorder may have - sudden and repeated attacks of fear  - a feeling of being out of control during a panic attack  - an intense worry about when the next attack will happen  - a fear or avoidance of places where panic attacks have occurred in the past  - physical symptoms during an attack, such as a pounding or racing heart, sweating, breathing problems, weakness or dizziness, feeling hot or a cold chill, tingly or numb hands, chest pain, or stomach pain.  sudden and repeated attacks of fear a feeling of being out of control during a panic attack an intense worry about when the next attack will happen a fear or avoidance of places where panic attacks have occurred in the past physical symptoms during an attack, such as a pounding or racing heart, sweating, breathing problems, weakness or dizziness, feeling hot or a cold chill, tingly or numb hands, chest pain, or stomach pain. Learn more about panic disorder."
Who is at risk for Anxiety Disorders? ?,0000005-17,susceptibility,"Generalized anxiety disorder (GAD) affects about 6.8 million American adults, including twice as many women as men. The disorder develops gradually and can begin at any point in the life cycle, although the years of highest risk are between childhood and middle age. The average age of onset is 31 years old. Social phobia affects about 15 million American adults. Women and men are equally likely to develop the disorder, which usually begins in childhood or early adolescence. There is some evidence that genetic factors are involved.  Panic disorder  affects about 6 million American adults and is twice as common in women as men. Panic attacks often begin in late adolescence or early adulthood, but not everyone who experiences panic attacks will develop panic disorder. Many people have just one attack and never have another. The tendency to develop panic attacks appears to be inherited."
What are the treatments for Anxiety Disorders ?,0000005-19,treatment,"Most insurance plans, including health maintenance organizations (HMOs), will cover treatment for anxiety disorders. Check with your insurance company and find out. If you dont have insurance, the Health and Human Services division of your county government may offer mental health care at a public mental health center that charges people according to how much they are able to pay. If you are on public assistance, you may be able to get care through your state Medicaid plan. To learn about more mental health resources, see  Help for Mental Illness,  from the National Institute of Mental Health at NIH."
What is (are) Anxiety Disorders ?,0000005-23,information,"Cognitive behavioral therapy (CBT) is a type of psychotherapy that is very useful in treating anxiety disorders. It can help people change the thinking patterns that support their fears and change the way they react to anxiety-provoking situations. For example, cognitive behavioral therapy can help people with panic disorder learn that their panic attacks are not really heart attacks and help people with social phobia learn how to overcome the belief that others are always watching and judging them. When people are ready to confront their fears, they are shown how to use exposure techniques to desensitize themselves to situations that trigger their anxieties."
What are the treatments for Anxiety Disorders ?,0000005-24,treatment,"Exposure-based treatment has been used for many years to treat specific phobias. The person gradually encounters the object or situation that is feared, perhaps at first only through pictures or tapes, then later face-to-face. Sometimes the therapist will accompany the person to a feared situation to provide support and guidance. Exposure exercises are undertaken once the patient decides he is ready for it and with his cooperation. To be effective, therapy must be directed at the persons specific anxieties and must be tailored to his or her needs. A typical side effect is temporary discomfort involved with thinking about confronting feared situations."
What is (are) Balance Problems ?,0000006-1,information,"Have you ever felt dizzy, lightheaded, or as if the room were spinning around you? These can be very troublesome sensations. If the feeling happens often, it could be a sign of a balance problem. Balance problems are among the most common reasons that older adults seek help from a doctor. In 2008, an estimated 14.8 percent of American adults (33.4 million) had a balance or dizziness problem during the past year. Why Good Balance is Important Having good balance means being able to control and maintain your body's position, whether you are moving or remaining still. An intact sense of balance helps you - walk without staggering  - get up from a chair without falling   - climb stairs without tripping  - bend over without falling. walk without staggering get up from a chair without falling climb stairs without tripping bend over without falling. The part of the inner ear responsible for balance is the vestibular system, often referred to as the labyrinth. To maintain your body's position, the labyrinth interacts with other systems in the body, such as the eyes, bones and joints. Good balance is important to help you get around, stay independent, and carry out daily activities. Learn how your body maintains its balance. When People Have Problems with Balance As they get older, many people experience problems with their sense of balance. They feel dizzy or unsteady, or as if they or their surroundings were in motion. Disturbances of the inner ear are a common cause. Vertigo, the feeling that you or the things around you are spinning, is also a common symptom. Balance disorders are one reason older people fall. Falls and fall-related injuries, such as hip fracture, can have a serious impact on an older person's life. If you fall, it could limit your activities or make it impossible to live independently. Many people often become more isolated after a fall. According to the Centers for Disease Control and Prevention, roughly more than one-third of adults ages 65 years and older fall each year. Among older adults, falls are the leading cause of injury-related deaths.  Learn other ways a fall may affect an older adult's life. BPPV (Benign Paroxysmal Positional Vertigo) There are many types of balance disorders. One of the most common is benign paroxysmal positional vertigo, or BPPV. In BPPV, you experience a brief, intense feeling of vertigo when you change the position of your head, such as when rolling over to the left or right, upon getting out of bed, or when looking for an object on a high or low shelf. BPPV is more likely to occur in adults aged 60 and older, but can also occur in younger people. In BPPV, small calcium particles in the inner ear become displaced and disrupt the inner ear balance sensors, causing dizziness. The reason they become displaced is not known; the cause may be an inner ear infection, head injury, or aging. Labyrinthitis This is an infection or inflammation of the inner ear that causes dizziness and loss of balance. It is often associated with an upper respiratory infection such as the flu. Mnire's Disease Mnire's disease is a balance disorder that causes a person to experience - vertigo  - hearing loss that comes and goes  - tinnitus, which is a ringing or roaring in the ears  - a feeling of fullness in the ear.  vertigo hearing loss that comes and goes tinnitus, which is a ringing or roaring in the ears a feeling of fullness in the ear. It affects adults of any age. The cause is unknown. See a fuller list of balance disorders. There are many ways to treat balance disorders. Treatments vary depending on the cause. See your doctor if you are experiencing dizziness, vertigo, or other problems with your balance."
How to prevent Balance Problems ?,0000006-2,prevention,"People are more likely to have problems with balance as they get older. But age is not the only reason these problems occur; there are other causes, too. In some cases, you can help reduce your risk for certain balance problems. Problems in the Inner Ear Some balance disorders are caused by problems in the inner ear. The part of the inner ear that is responsible for balance is the vestibular system, also known as the labyrinth. When the labyrinth becomes infected or swollen, this condition is called labyrinthitis. It is typically accompanied by vertigo and imbalance. Upper respiratory infections and other viral infections, and, less commonly, bacterial infections, can lead to labyrinthitis. Other Causes Other balance diseorers may involve another part of the body, such as the brain or the heart. For example, diseases of the circulatory system, such as stroke, can cause dizziness and other balance problems. Smoking and diabetes can increase the risk of stroke. Low blood pressure can also cause dizziness. Aging, infections, head injury and many medicines may also result in a balance problem. Problems Caused by Medications Balance problems can also result from taking many medications. For example, some medicines, such as those that help lower blood pressure, can make a person feel dizzy. Ototoxic drugs are medicines that damage the inner ear. If your medicine is ototoxic, you may feel off balance. Sometimes the damage lasts only as long as you take the drug; many times it is permanent. Groups of drugs that are more likely to be ototoxic include -  antidepressants  - anti-seizure drugs (anticonvulsants)  -  hypertensive (high blood pressure) drugs  - sedatives  - tranquilizers  -  anxiolytics (anti-anxiety drugs)   - aminoglycosides (a type of antibiotic)   - diuretics  - vasodilators  - certain analgesics (painkillers)  - certain chemotherapeutics (anti-cancer drugs). antidepressants anti-seizure drugs (anticonvulsants) hypertensive (high blood pressure) drugs sedatives tranquilizers anxiolytics (anti-anxiety drugs) aminoglycosides (a type of antibiotic) diuretics vasodilators certain analgesics (painkillers) certain chemotherapeutics (anti-cancer drugs). Check with your doctor if you notice a problem while taking a medication. Ask if other medications can be used instead. If not, ask if the dosage can be safely reduced. Sometimes it cannot. However, your doctor will help you get the medication you need while trying to reduce unwanted side effects. Diet and Lifestyle Can Help Your diet and lifestyle can help you manage certain balance-related problems. For example, Mnire's disease, which causes vertigo and other balance and hearing problems, is linked to a change in the volume of fluid in the inner ear. By eating low-salt (low-sodium) or salt-free foods, and steering clear of caffeine and alcohol, you may make Mnire's disease symptoms less severe. See suggestions for limiting salt (sodium) in your diet. Balance problems due to high blood pressure can be managed by eating less salt (less sodium), maintaining a healthy weight, and exercising. Balance problems due to low blood pressure may be managed by drinking plenty of fluids, such as water, avoiding alcohol, and being cautious regarding your body's posture and movement, such as standing up slowly and avoiding crossing your legs when youre seated. Learn more about managing high blood pressure (hypertension). Learn more about manging low blood pressure (hypotension). Prevent Ear Infections The ear infection called otitis media is common in children, but adults can get it too. Otitis media can sometimes cause dizziness. You can help prevent otitis media by washing your hands frequently. Also, talk to your doctor about getting a yearly flu shot to stave off flu-related ear infections. If you still get an ear infection, see a doctor immediately before it becomes more serious. Learn more about otitis media and other ear infections. (Centers for Disease Control and Prevention)"
What are the symptoms of Balance Problems ?,0000006-3,symptoms,"Some people may have a balance problem without realizing it. Others might think they have a problem, but are too embarrassed to tell their doctor, friends, or family. Here are common symtoms experienced by people with a balance disorder. Symptoms If you have a balance disorder, you may stagger when you try to walk, or teeter or fall when you try to stand up. You might experience other symptoms such as: - dizziness or vertigo (a spinning sensation)   - falling or feeling as if you are going to fall  - lightheadedness, faintness, or a floating sensation  - blurred vision  - confusion or disorientation. dizziness or vertigo (a spinning sensation) falling or feeling as if you are going to fall lightheadedness, faintness, or a floating sensation blurred vision confusion or disorientation. Other symptoms might include nausea and vomiting, diarrhea, changes in heart rate and blood pressure, and fear, anxiety, or panic. Symptoms may come and go over short time periods or last for a long time, and can lead to fatigue and depression. Diagnosis Can Be Difficult Balance disorders can be difficult to diagnose. Sometimes they are a sign of other health problems, such as those affecting the brain, the heart, or circulation of the blood. People may also find it hard to describe their symptoms to the doctor. Questions to Ask Yourself You can help identify a balance problem by asking yourself some key questions. If you answer ""yes"" to any of these questions, you should discuss the symptom with your doctor. - Do I feel unsteady?   - Do I feel as if the room is spinning around me, even only for brief periods of time?  - Do I feel as if I'm moving when I know I'm standing or sitting still?   - Do I lose my balance and fall?   - Do I feel as if I'm falling?  - Do I feel lightheaded, or as if I might faint?   - Does my vision become blurred?   - Do I ever feel disoriented, losing my sense of time, place, or identity? Do I feel unsteady? Do I feel as if the room is spinning around me, even only for brief periods of time? Do I feel as if I'm moving when I know I'm standing or sitting still? Do I lose my balance and fall? Do I feel as if I'm falling? Do I feel lightheaded, or as if I might faint? Does my vision become blurred? Do I ever feel disoriented, losing my sense of time, place, or identity? Questions to Ask Your Doctor If you think that you have a balance disorder, you should schedule an appointment with your family doctor. You can help your doctor make a diagnosis by writing down key information about your dizziness or balance problem beforehand and giving the information to your doctor during the visit. Tell your doctor as much as you can. Write down answers to these questions for your doctor: - How would you describe your dizziness or balance problem?  -  If it feels like the room is spinning around you, which ways does it appear to turn?  - How often do you have dizziness or balance problems?  - Have you ever fallen?   - If so, when did you fall, where did you fall, and how often have you fallen?  - What medications do you take? Remember to include all over-the-counter medications, including aspirin, antihistamines, and sleep aids.   - What is the name of the medication?  - How much do you take each day?   - What times of the day do you take the medication?  - What is the health condition for which you take the medication?  How would you describe your dizziness or balance problem? If it feels like the room is spinning around you, which ways does it appear to turn? How often do you have dizziness or balance problems? Have you ever fallen? If so, when did you fall, where did you fall, and how often have you fallen? What medications do you take? Remember to include all over-the-counter medications, including aspirin, antihistamines, and sleep aids. What is the name of the medication? How much do you take each day? What times of the day do you take the medication? What is the health condition for which you take the medication? See a video about describing symptoms and health concerns during a doctor visit. Seeing a Specialist Your doctor may refer you to an otolaryngologist. This is a doctor with special training in problems of the ear, nose, throat, head, and neck. The otolaryngologist may ask you for your medical history and perform a physical examination to help figure out the possible causes of the balance disorder. He or she, as well as an audiologist (a person who specializes in assessing hearing and balance disorders), may also perform tests to determine the cause and extent of the problem.  Learn what's involved in visiting a medical specialist."
What are the treatments for Balance Problems ?,0000006-4,treatment,"Your doctor can recommend strategies to help reduce the effects of a balance disorder. Scientists are studying ways to develop new, more effective methods to treat and prevent balance disorders. Balance disorders can be signs of other health problems, such as an ear infection, stroke, or multiple sclerosis. In some cases, you can help treat a balance disorder by seeking medical treatment for the illness that is causing the disorder. Exercises for Balance Disorders Some exercises help make up for a balance disorder by moving the head and body in certain ways. The exercises are developed especially for a patient by a professional (often a physical therapist) who understands the balance system and its relationship with other systems in the body. In benign paroxysmal positional vertigo, or BPPV, small calcium particles in the inner ear become displaced, causing dizziness. BPPV can often be effectively treated by carefully moving the head and torso to move the displaced calcium particles back to their original position. For some people, one session will be all that is needed. Others might need to repeat the procedure several times at home to relieve their dizziness. Treating Mnire's Disease Mnire's disease is caused by changes in fluid volumes in the inner ear. People with Mnire's disease can help reduce its dizzying effects by lowering the amount of sodium, or salt (sodium) in their diets. Limiting alcohol or caffeine also may be helpful.  See suggestions for limiting salt (sodium) in your diet. Medications such as corticosteroids and the antibiotic gentamicin are used to treat Mnire's disease. Gentamicin can help reduce the dizziness that occurs with Mnire's disease, but in some cases it can also destroy sensory cells in the inner ear, resulting in permanent hearing loss. Corticosteroids don't cause hearing loss, but research is underway to determine if they are as effective as gentamicin. Learn more about ways to treat Mnire's disease. In some cases, surgery may be necessary to relieve a balance disorder. Treating Problems Due to High or Low Blood Pressure Balance problems due to high blood pressure can be managed by eating less salt (sodium), maintaining a healthy weight, and exercising. Balance problems due to low blood pressure may be managed by drinking plenty of fluids, such as water, avoiding alcohol, and being cautious regarding your body's posture and movement, such as standing up slowly and avoiding crossing your legs when youre seated. Learn more about managing high blood pressure (hypertension).   Learn more about managing low blood pressure (hypotension).  Coping with a Balance Disorder Some people with a balance disorder may not be able to fully relieve their dizziness and will need to find ways to cope with it. A vestibular rehabilitation therapist can help you develop an individualized treatment plan. Talk to your doctor about whether its safe to drive, as well as ways to lower your risk of falling and getting hurt during daily activities, such as when you walk up or down stairs, use the bathroom, or exercise. To reduce your risk of injury from dizziness, avoid walking in the dark. You should also wear low-heeled shoes or walking shoes outdoors. If necessary, use a cane or walker and modify conditions at your home and workplace, such as by adding handrails. Current Research Scientists are working to understand the complex interactions between the brain and the part of the inner ear responsible for balance. They are also studying the effectiveness of certain exercises as a treatment option for balance disorders. In a study funded by the National Institute on Deafness and Other Communication Disorders (NIDCD), researchers created a virtual reality grocery store. This virtual store is a computer-simulated environment that seems to be a physical place in the real world, designed so people with balance disorders can safely walk on a treadmill as they practice looking for items on store shelves. The goal is to help reduce a person's dizziness in confusing environments. NIDCD-supported scientists are also studying the use of a vestibular implant to stop a Mnires attack by restoring normal electrical activity in the vestibular nerve. This nerve conveys balance information to the brain. The device uses the same technology found in a cochlear implant, a medical device that currently provides a sense of sound to people who are deaf or hard-of-hearing. An NIDCD-supported clinical trial in benign paroxysmal positioning vertigo (BPPV) showed that repositioning maneuvers work well, and offered clinicians a range of choices in selecting the treatment best suited to each individuals unique needs. See more information about research on balance problems."
What is (are) Balance Problems ?,0000006-6,information,"A balance disorder is a disturbance of the body systems controlling balance. This disturbance can make people feel dizzy, unsteady, or as if they were spinning. Balance disorders are a common cause of falls and fall-related injuries, such as hip fractures."
How many people are affected by Balance Problems ?,0000006-7,frequency,"In 2008, an estimated 14.8 percent of American adults (33.4 million) had a balance or dizziness problem during the past year. See statistics about the frequency of balance and other sensory impairments in older adults.  (Centers for Disease Control and Prevention)"
What are the symptoms of Balance Problems ?,0000006-9,symptoms,"If you have a balance disorder, you may stagger when you try to walk, or teeter or fall when you try to stand up. You might experience other symptoms such as -  dizziness or vertigo (a spinning sensation)  -  falling or feeling as if you are going to fall  -  lightheadedness, faintness, or a floating sensation  -  blurred vision  -  confusion or disorientation.  dizziness or vertigo (a spinning sensation) falling or feeling as if you are going to fall lightheadedness, faintness, or a floating sensation blurred vision confusion or disorientation. Other symptoms might include nausea and vomiting, diarrhea, changes in heart rate and blood pressure, and fear, anxiety, or panic. Symptoms may come and go over short time periods or last for a long time, and can lead to fatigue and depression."
What is (are) Balance Problems ?,0000006-10,information,"There are many types of balance disorders. Three of the most common are BPPV (benign paroxysmal positional vertigo), labyrinthitis, and Menieres disease. BPPV (benign paroxysmal positional vertigo) is one of the most common balance disorders among older adults. With BPPV, you experience a brief, intense feeling of vertigo that occurs when you change the position of your head. You may also experience BPPV when rolling over to the left or right upon getting out of bed, or when looking up for an object on a high shelf. In BPPV, small calcium particles in the inner ear become displaced, causing dizziness. The reason the particles get displaced is not known, although it may result from an inner ear infection, head injury, or aging.  Labyrinthitis is  is another type of balance disorder. The labyrinth is an organ of the inner ear that helps you maintain your balance. When the labyrinth becomes infected or swollen, it is typically accompanied by vertigo and imbalance. Upper respiratory infections and other viral infections, and, less commonly, bacterial infections, can lead to labyrinthitis. Mnire's disease is a balance disorder that causes - vertigo  - hearing loss that comes and goes  - tinnitus, which is a ringing or roaring in the ears   - a feeling of fullness in the ear. vertigo hearing loss that comes and goes tinnitus, which is a ringing or roaring in the ears a feeling of fullness in the ear. Mnire's disease can affect adults of any age. The cause is unknown.  See a fuller list of balance disorders."
What causes Balance Problems ?,0000006-12,causes,"Some balance disorders are caused by problems in the inner ear. The part of the inner ear that is responsible for balance is the vestibular system, often refered to as the labyrinth. When the labyrinth becomes infected or swollen -- a condition called labyrinthitis -- it is typically accompanied by vertigo and imbalance. Upper respiratory infections, other viral infections, and, less commonly, bacterial infections, can lead to labyrinthitis. Other balance disorders may involve another part of the body, such as the brain or the heart. For example, diseases of the circulatory system, such as stroke, can cause dizziness and other balance problems. Smoking and diabetes can increase the risk of stroke. Low blood pressure also can cause dizziness. Aging, infections, head injury, and many medicines may also result in a balance problem."
