question,question_id,question_type,answer
What is the outlook for Back Pain ?,0000037-3,outlook,"Most patients with back pain recover without residual functional loss, but individuals should contact a doctor if there is not a noticeable reduction in pain and inflammation after 72 hours of self-care. Recurring back pain resulting from improper body mechanics or other nontraumatic causes is often preventable. Engaging in exercises that don't jolt or strain the back, maintaining correct posture, and lifting objects properly can help prevent injuries. Many work-related injuries are caused or aggravated by stressors such as heavy lifting, vibration, repetitive motion, and awkward posture. Applying ergonomic principles  designing furniture and tools to protect the body from injury  at home and in the workplace can greatly reduce the risk of back injury and help maintain a healthy back."
what research (or clinical trials) is being done for Back Pain ?,0000037-4,research,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct pain research in laboratories at the NIH and also support pain research through grants to major medical institutions across the country. Currently, researchers are examining the use of different drugs to effectively treat back pain, in particular, chronic pain that has lasted at least 6 months. Other studies are comparing different health care approaches to the management of acute low back pain (standard care versus chiropractic, acupuncture, or massage therapy). These studies are measuring symptom relief, restoration of function, and patient satisfaction. Other research is comparing standard surgical treatments to the most commonly used standard nonsurgical treatments to measure changes in health-related quality of life among patients suffering from spinal stenosis."
What is (are) Barth Syndrome ?,0000038-1,information,"Barth syndrome (BTHS) is a rare, genetic disorder of lipid metabolism that primarily affects males. It is caused by a mutation in the tafazzin gene (TAZ, also called G4.5) which leads to decreased production of an enzyme required to produce cardiolipin. Cardiolipin is an essential lipid that is important in energy metabolism. BTHS, which affects multiple body systems, is considered serious. Its main characteristics often include combinations in varying degrees of heart muscle weakness (cardiomyopathy), neutropenia (low white blood cell cunt, which may lead to an increased risk for bacterial infections), reduced muscle tone (hypotonia), muscle weakness, undeveloped skeletal muscles, delayed growth, fatigue, varying degrees of physical disability, and methylglutaconic aciduria (an increase in an organic acid that results in abnormal mitochondria function). Although some with BTHS may have all of these characteristics, others may have only one or two and are often misdiagnosed. BTHS is an X-linked genetic condition passed from mother to son through the X chromosome. A mother who is a carrier of BTHS typically shows no signs or symptoms of the disorder herself. On average, 50 percent of children born to a carrier mother will inherit the defective gene, but only boys will develop symptoms. All daughters born to an affected male will be carriers but typically will not have symptoms."
What are the treatments for Barth Syndrome ?,0000038-2,treatment,"There is no specific treatment for Barth syndrome. Bacterial infections caused by neutropenia can be effectively treated with antibiotics. The drug granulocyte colony stimulating factor, or GCSF, can stimulate white cell production by the bone marrow and help combat infection. Medicines may be prescribed to control heart problems. The dietary supplement carnitine has aided some children with Barth syndrome but in others it has caused increasing muscle weakness and even precipitated heart failure. Only careful dietary monitoring directed by a physician or nutritionist familiar with the disorder can ensure proper caloric and nutritional intake."
What is the outlook for Barth Syndrome ?,0000038-3,outlook,"Early and accurate diagnosis is key to prolonged survival for boys born with Barth syndrome. The disorder was once considered uniformly fatal in infancy, but some individuals are now living much longer. Severe infections and cardiac failure are common causes of death in affected children."
what research (or clinical trials) is being done for Barth Syndrome ?,0000038-4,research,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge of the brain and nervous system and to use that knowledge to reduce the burden of neurological disease. The NINDS supports research on genetic disorders such as Barth syndrome, including basic research on mitochondrial dysfunction and investigations of other inborn errors of metabolism. Scientists have identified many of the genetic mutations that cause mitochondrial diseases and have created animal models which can be used to investigate potential treatments. Scientists hope to develop unique approaches to treating mitochondrial diseases through a better understanding of mitochondrial biology. Because people affected by mitochondrial disease often have a mixture of healthy and mutant mitochondria in their cells, effective therapy could involve getting the healthy mitochondria to take over for the diseased ones."
What is (are) Batten Disease ?,0000039-1,information,"Batten disease is a fatal, inherited disorder of the nervous system that begins in childhood. In some cases, the early signs are subtle, taking the form of personality and behavior changes, slow learning, clumsiness, or stumbling. Symptoms of Batten disease are linked to a buildup of substances called lipopigments in the body's tissues. Lipopigments are made up of fats and proteins. Because vision loss is often an early sign, Batten disease may be first suspected during an eye exam. Often, an eye specialist or other physician may refer the child to a neurologist. Diagnostic tests for Batten disease include blood or urine tests, skin or tissue sampling, an electroencephalogram (EEG), electrical studies of the eyes, and brain scans."
What are the treatments for Batten Disease ?,0000039-2,treatment,"As yet, no specific treatment is known that can halt or reverse the symptoms of Batten disease. However, seizures can sometimes be reduced or controlled with anticonvulsant drugs, and other medical problems can be treated appropriately as they arise. Physical therapy and occupational therapy may help patients retain functioning as long as possible."
What is the outlook for Batten Disease ?,0000039-3,outlook,"Over time, affected children suffer cognitive impairment, worsening seizures, and progressive loss of sight and motor skills. Eventually, children with Batten disease become blind, bedridden, and demented. Batten disease is often fatal by the late teens or twenties."
what research (or clinical trials) is being done for Batten Disease ?,0000039-4,research,"The biochemical defects that underlie several NCLs have recently been discovered. An enzyme called palmitoyl-protein thioesterase has been shown to be insufficiently active in the infantile form of Batten disease (this condition is now referred to as CLN1). In the late infantile form (CLN2), a deficiency of an acid protease, an enzyme that hydrolyzes proteins, has been found as the cause of this condition. A mutated gene has been identified in juvenile Batten disease (CLN3), but the protein for which this gene codes has not been identified. In addition, research scientists are working with NCL animal models to improve understanding and treatment of these disorders. One research team, for example, is testing the usefulness of bone marrow transplantation in a sheep model, while other investigators are working to develop mouse models. Mouse models will make it easier for scientists to study the genetics of these diseases."
What is (are) Myotonia Congenita ?,0000040-1,information,"Myotonia congenita is an inherited neuromuscular disorder characterized by the inability of muscles to quickly relax after a voluntary contraction. The condition is present from early childhood, but symptoms can be mild. Most children will be 2 or 3 years old when parents first notice their muscle stiffness, particularly in the legs, often provoked by sudden activity after rest. The disease doesnt cause muscle wasting; in fact, it may cause muscle enlargement. Muscle strength is increased. There are two forms of the disorder: Becker-type, which is the most common form; and Thomsens disease, which is a rare and milder form. The disorder is cause by mutations in a gene responsible for shutting off electrical excitation in the muscles."
What are the treatments for Myotonia Congenita ?,0000040-2,treatment,"Most people with myotonia congenita dont require special treatments. Stiff muscles usually resolve with exercise, or light movement, especially after resting. For individuals whose symptoms are more limiting, doctors have had some success with medications such as quinine, or anticonvulsant drugs such as phenytoin. Physical therapy and other rehabilitative therapies are also sometimes used to improve muscle function."
What is the outlook for Myotonia Congenita ?,0000040-3,outlook,"Most individuals with myotonia congenita lead long, productive lives. Although muscle stiffness may interfere with walking, grasping, chewing, and swallowing, it is usually relieved with exercise."
what research (or clinical trials) is being done for Myotonia Congenita ?,0000040-4,research,"The National Institute of Neurological Disorders and Stroke (NINDS) conducts research related to myotonia congenita and also supports additional research through grants to major research institutions across the country. Current research is exploring how, at the molecular level, the defective gene in myotonia congenita causes the specific symptoms of the disorder. Additional research is focused on developing animal models of the disorder to test potential treatments and therapies."
What is (are) Behcet's Disease ?,0000041-1,information,"Behcet's disease is a rare, chronic inflammatory disorder. The cause of Behcet's disease is unknown, but current research suggests that both genetic and environmental factors play a role. Behcet's disease generally begins when individuals are in their 20s or 30s, although it can happen at any age. It tends to occur more often in men than in women. Symptoms of Behcet's disease include recurrent ulcers in the mouth (resembling canker sores) and on the genitals, and eye inflammation. The disorder may also cause various types of skin lesions, arthritis, bowel inflammation, meningitis (inflammation of the membranes of the brain and spinal cord), and cranial nerve palsies. Behcet's is a multi-system disease; it may involve all organs and affect the central nervous system, causing memory loss and impaired speech, balance, and movement.
                
The effects of the disease may include blindness, stroke, swelling of the spinal cord, and intestinal complications. The disease is common in the Middle East, particularly in Turkey, and in Far Eastern nations such as Japan and Korean, but is less common in the United States."
What are the treatments for Behcet's Disease ?,0000041-2,treatment,Treatment for Behcet's disease is symptomatic and supportive. Medication may be prescribed to reduce inflammation and/or regulate the immune system. Immunosuppressive therapy may be considered.
What is the outlook for Behcet's Disease ?,0000041-3,outlook,Behcet's disease is a lifelong disorder that comes and goes. Permanent remission of symptoms has not been reported.
what research (or clinical trials) is being done for Behcet's Disease ?,0000041-4,research,"The NINDS supports research on painful neurological disorders such as Behcet's disease. The National Human Genome Research Institute, another Institute of the National Institutes of Health, conducts research into the genomic basis of Behcet's disease. This research is aimed at discovering the causes of these disorders and finding ways to treat, prevent, and, ultimately, cure them."
What is (are) Bell's Palsy ?,0000042-1,information,"Bell's palsy is a form of temporary facial paralysis resulting from damage or trauma to the 7th cranial nerve, one of the facial nerves. It is the most common cause of facial paralysis. Generally, Bell's palsy affects only one side of the face, however, in rare cases, it can affect both sides. Symptoms usually begin suddenly and reach their peak within 72 hours, and can range in severity from mild weakness to total paralysis. Symptoms vary among individuals and include sudden weakness on one side of the face, drooping eyelid or corner of the mouth, drooling, dry eye or mouth, altered taste, and excessive tearing in the eye. Bells palsy can cause significant facial distortion. The exact cause of Bell's palsy isn't known, but many scientists believe that reactivation of a dormant viral infection can cause the facial nerve to swell and becomes inflamed. Several other conditions can cause facial paralysis that might be diagnosed as Bell's palsy.."
What are the treatments for Bell's Palsy ?,0000042-2,treatment,"Steroids such as prednisone -- used to reduce inflammation and swelling -- are an effective treatment for Bell's palsy. Antiviral drugs may have some benefit in shortening the course of the disease. Analgesics such as aspirin, acetaminophen, or ibuprofen may relieve pain. Because of possible drug interactions, individuals should always talk to their doctors before taking any over-the-counter medicines. Keeping the eye moist and protecting it from debris and injury, especially at night, is important. Lubricating eye drops can help. Other therapies such as physical therapy, facial massage or acupuncture may provide a potential small improvement in facial nerve function and pain.."
What is the outlook for Bell's Palsy ?,0000042-3,outlook,"The prognosis for individuals with Bell's palsy is generally very good. The extent of nerve damage determines the extent of recovery. With or without treatment, most individuals begin to get better within 2 weeks after the initial onset of symptoms and recover some or all facial function within 3 to 6 months."
what research (or clinical trials) is being done for Bell's Palsy ?,0000042-4,research,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge of the brain and nervous system and to use that knowledge to reduce the burden of neurological disease. The NINDS conducts and supports an extensive research program of basic science to increase understanding of how the nervous system works and circumstances that lead to nerve damage. Knowledge gained from this research may help scientists find the definitive cause of Bell's palsy, leading to the discovery of new effective treatments for the disorder. Other NINDS-supported research is aimed at developing methods to repair damaged nerves and restore full use and strength to injured areas, and finding ways to prevent nerve damage and injuries from occurring."
What is (are) Benign Essential Blepharospasm ?,0000043-1,information,"Benign essential blepharospasm (BEB) is a progressive neurological disorder characterized by involuntary muscle contractions and spasms of the eyelid muscles. It is a form of dystonia, a movement disorder in which muscle contractions cause sustained eyelid closure, twitching or repetitive movements. BEB begins gradually with increased frequency of eye blinking often associated with eye irritation. Other symptoms may include increasing difficulty in keeping the eyes open, and light sensitivity. Generally, the spasms occur during the day, disappear in sleep, and reappear after waking. As the condition progresses, the spasms may intensify, forcing the eyelids to remain closed for long periods of time, and thereby causing substantial visual disturbance or functional blindness. It is important to note that the blindness is caused solely by the uncontrollable closing of the eyelids and not by a dysfunction of the eyes. BEB occurs in both men and women, although it is especially common in middle-aged and elderly women."
What are the treatments for Benign Essential Blepharospasm ?,0000043-2,treatment,In most cases of BEB the treatment of choice is botulinum toxin injections which relax the muscles and stop the spasms. Other treatment options include medications (drug therapy) or surgery--either local surgery of the eye muscles or deep brain stimulation surgery.
What is the outlook for Benign Essential Blepharospasm ?,0000043-3,outlook,"With botulinum toxin treatment most individuals with BEB have substantial relief of symptoms. Although some may experience side effects such as drooping eyelids, blurred or double vision, and eye dryness, these side effects are usually only temporary. The condition may worsen or expand to surrounding muscles; remain the same for many years; and, in rare cases, improve spontaneously."
what research (or clinical trials) is being done for Benign Essential Blepharospasm ?,0000043-4,research,"The NINDS supports a broad program of research on disorders of the nervous system, including BEB. Much of this research is aimed at increasing understanding of these disorders and finding ways to prevent, treat, and cure them."
What is (are) Monomelic Amyotrophy ?,0000044-1,information,"Monomelic amyotrophy (MMA) is characterized by progressive degeneration and loss of motor neurons, the nerve cells in the brain and spinal cord that are responsible for controlling voluntary muscles. It is characterized by weakness and wasting in a single limb, usually an arm and hand rather than a foot and leg. There is no pain associated with MMA. While some physicians contend that mild sensory loss may be associated with this disease, many experts suggest that such symptoms actually indicate a cause other than MMA. MMA occurs in males between the ages of 15 and 25. Onset and progression are slow. MMA is seen most frequently in Asia, particularly in Japan and India; it is much less common in North America. In most cases, the cause is unknown, although there have been a few published reports linking MMA to traumatic or radiation injury. There are also familial forms of MMA. Diagnosis is made by physical exam and medical history. Electromyography (EMG), a special recording technique that detects electrical activity in muscles, shows a loss of the nerve supply, or denervation, in the affected limb; MRI and CT scans may show muscle atrophy. People believed to have MMA should be followed by a neuromuscular disease specialist for a number of months to make certain that no signs of other motor neuron diseases develop."
What are the treatments for Monomelic Amyotrophy ?,0000044-2,treatment,There is no cure for MMA. Treatment consists of muscle strengthening exercises and training in hand coordination
What is the outlook for Monomelic Amyotrophy ?,0000044-3,outlook,"The symptoms of MMA usually progress slowly for one to two years before reaching a plateau, and then remain stable for many years. Disability is generally slight. Rarely, the weakness progresses to the opposite limb. There is also a slowly progressive variant of MMA known as O'Sullivan-McLeod syndrome, which only affects the small muscles of the hand and forearm and has a slowly progressive course."
what research (or clinical trials) is being done for Monomelic Amyotrophy ?,0000044-4,research,"The NINDS conducts and supports a broad range of research on motor neuron diseases. The goals of these studies are to increase understanding of these disorders and to find ways to treat, prevent, and ultimately cure them."
What is (are) Pseudotumor Cerebri ?,0000045-1,information,"Pseudotumor cerebri literally means ""false brain tumor."" It is likely due to high pressure within the skull caused by the buildup or poor absorption of cerebrospinal fluid (CSF). The disorder is most common in women between the ages of 20 and 50. Symptoms of pseudotumor cerebri, which include headache, nausea, vomiting, and pulsating sounds within the head, closely mimic symptoms of large brain tumors."
What are the treatments for Pseudotumor Cerebri ?,0000045-2,treatment,"Obesity, other treatable diseases, and some medications can cause raised intracranial pressure and symptoms of pseudotumor cerebri. A thorough medical history and physical examination is needed to evaluate these factors. If a diagnosis of pseudotumor cerebri is confirmed, close, repeated ophthalmologic exams are required to monitor any changes in vision. Drugs may be used to reduce fluid buildup and to relieve pressure. Weight loss through dieting or weight loss surgery and cessation of certain drugs (including oral contraceptives, tetracycline, and a variety of steroids) may lead to improvement. Surgery may be needed to remove pressure on the optic nerve. Therapeutic shunting, which involves surgically inserting a tube to drain CSF from the lower spine into the abdominal cavity, may be needed to remove excess CSF and relieve CSF pressure."
What is the outlook for Pseudotumor Cerebri ?,0000045-3,outlook,"The disorder may cause progressive, permanent visual loss in some patients. In some cases, pseudotumor cerebri recurs."
what research (or clinical trials) is being done for Pseudotumor Cerebri ?,0000045-4,research,"The NINDS conducts and supports research on disorders of the brain and nervous system, including pseudotumor cerebri. This research focuses primarily on increasing scientific understanding of these disorders and finding ways to prevent, treat, and cure them."
What is (are) Meralgia Paresthetica ?,0000046-1,information,"Meralgia paresthetica is a disorder characterized by tingling, numbness, and burning pain in the outer side of the thigh. The disorder is caused by compression of the lateral femoral cutaneous nerve, a sensory nerve to the skin, as it exits the pelvis. People with the disorder often notice a patch of skin that is sensitive to touch and sometimes painful. Meralgia paresthetica should not be associated with weakness or radiating pain from the back."
What are the treatments for Meralgia Paresthetica ?,0000046-2,treatment,"Treatment for meralgia paresthetica is symptomatic and supportive. The majority of cases improve with conservative treatment by wearing looser clothing and losing weight. Medications used to treat neurogenic pain, such as anti-seizure or anti-depressant medications, may alleviate symptoms of pain. In a few cases, in which pain is persistent or severe, surgical intervention may be indicated."
What is the outlook for Meralgia Paresthetica ?,0000046-3,outlook,"Meralgia paresthetica usually has a good prognosis. In most cases, meralgia paresthetica will improve with conservative treatment or may even spontaneously resolve. Surgical intervention is not always fully successful."
what research (or clinical trials) is being done for Meralgia Paresthetica ?,0000046-4,research,"Within the NINDS research programs, meralgia paresthetica is addressed primarily through studies associated with pain research. NINDS vigorously pursues a research program seeking new treatments for pain and nerve damage with the ultimate goal of reversing these debilitating conditions."
What is (are) Binswanger's Disease ?,0000047-1,information,"Binswanger's disease (BD), also called subcortical vascular dementia, is a type of dementia caused by widespread, microscopic areas of damage to the deep layers of white matter in the brain. The damage is the result of the thickening and narrowing (atherosclerosis) of arteries that feed the subcortical areas of the brain. Atherosclerosis (commonly known as ""hardening of the arteries"") is a systemic process that affects blood vessels throughout the body. It begins late in the fourth decade of life and increases in severity with age. As the arteries become more and more narrowed, the blood supplied by those arteries decreases and brain tissue dies. A characteristic pattern of BD-damaged brain tissue can be seen with modern brain imaging techniques such as CT scans or magnetic resonance imaging (MRI). The symptoms associated with BD are related to the disruption of subcortical neural circuits that control what neuroscientists call executive cognitive functioning: short-term memory, organization, mood, the regulation of attention, the ability to act or make decisions, and appropriate behavior. The most characteristic feature of BD is psychomotor slowness - an increase in the length of time it takes, for example, for the fingers to turn the thought of a letter into the shape of a letter on a piece of paper. Other symptoms include forgetfulness (but not as severe as the forgetfulness of Alzheimer's disease), changes in speech, an unsteady gait, clumsiness or frequent falls, changes in personality or mood (most likely in the form of apathy, irritability, and depression), and urinary symptoms that aren't caused by urological disease. Brain imaging, which reveals the characteristic brain lesions of BD, is essential for a positive diagnosis."
What are the treatments for Binswanger's Disease ?,0000047-2,treatment,"There is no specific course of treatment for BD. Treatment is symptomatic. People with depression or anxiety may require antidepressant medications such as the serotonin-specific reuptake inhibitors (SSRI) sertraline or citalopram. Atypical antipsychotic drugs, such as risperidone and olanzapine, can be useful in individuals with agitation and disruptive behavior. Recent drug trials with the drug memantine have shown improved cognition and stabilization of global functioning and behavior. The successful management of hypertension and diabetes can slow the progression of atherosclerosis, and subsequently slow the progress of BD. Because there is no cure, the best treatment is preventive, early in the adult years, by controlling risk factors such as hypertension, diabetes, and smoking."
What is the outlook for Binswanger's Disease ?,0000047-3,outlook,"BD is a progressive disease; there is no cure. Changes may be sudden or gradual and then progress in a stepwise manner. BD can often coexist with Alzheimer's disease. Behaviors that slow the progression of high blood pressure, diabetes, and atherosclerosis -- such as eating a healthy diet and keeping healthy wake/sleep schedules, exercising, and not smoking or drinking too much alcohol -- can also slow the progression of BD."
what research (or clinical trials) is being done for Binswanger's Disease ?,0000047-4,research,"The National Institute of Neurological Disorders and Stroke (NINDS) conducts research related to BD in its laboratories at the National Institutes of Health (NIH), and also supports additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure neurological disorders, such as BD."
What is (are) Incontinentia Pigmenti ?,0000048-1,information,"Incontinentia pigmenti (IP) is an inherited disorder of skin pigmentation that is also associated with abnormalities of the teeth, skeletal system, eyes, and central nervous system. It is one of a group of gene-linked diseases known as neurocutaneous disorders. In most cases, IP is caused by mutations in a gene called NEMO (NF-kappaB essential modulator). Males are more severely affected than females. Discolored skin is caused by excessive deposits of melanin (normal skin pigment). Most newborns with IP will develop discolored skin within the first two weeks. The pigmentation involves the trunk and extremities, is slate-grey, blue or brown, and is distributed in irregular marbled or wavy lines. The discoloration fades with age. Neurological problems include loss of brain tissue (known as cerebral atrophy), the formation of small cavities in the central white matter of the brain, and the loss of neurons in the cerebellar cortex. About 20% of children with IP will have slow motor development, muscle weakness in one or both sides of the body, impaired cognitive development, and seizures. They are also likely to have visual problems, including crossed eyes, cataracts, and severe visual loss. Dental problems are also common, including missing or peg-shaped teeth. A related disorder, incontinentia pigmenti achromians, features skin patterns of light, unpigmented swirls and streaks that are the reverse of IP. Associated neurological problems are similar."
What are the treatments for Incontinentia Pigmenti ?,0000048-2,treatment,"The skin abnormalities of IP usually disappear by adolescence or adulthood without treatment. Diminished vision may be treated with corrective lenses, medication, or, in severe cases, surgery. A specialist may treat dental problems. Neurological symptoms such as seizures, muscle spasms, or mild paralysis may be controlled with medication and/or medical devices and with the advice of a neurologist."
What is the outlook for Incontinentia Pigmenti ?,0000048-3,outlook,"Although the skin abnormalities usually regress, and sometimes disappear completely, there may be residual neurological difficulties."
what research (or clinical trials) is being done for Incontinentia Pigmenti ?,0000048-4,research,"Researchers have begun to use genetic linkage studies to map the location of genes associated with the neurocutaneous disorders. Research supported by the NINDS includes studies to understand how the brain and nervous system normally develop and function and how they are affected by genetic mutations. These studies contribute to a greater understanding of gene-linked disorders such as IP, and have the potential to open promising new avenues of treatment."
What is (are) Erb-Duchenne and Dejerine-Klumpke Palsies ?,0000049-1,information,"The brachial plexus is a network of nerves that conducts signals from the spine to the shoulder, arm, and hand. Brachial plexus injuries are caused by damage to those nerves. Erb-Duchenne (Erb's) palsy refers to paralysis of the upper brachial plexus. Dejerine-Klumpke (Klumpke's) palsy refers to paralysis of the lower brachial plexus. Although injuries can occur at any time, many brachial plexus injuries happen when a baby's shoulders become impacted during delivery and the brachial plexus nerves stretch or tear. There are four types of brachial plexus injuries: avulsion, the most severe type, in which the nerve is torn from the spine; rupture, in which the nerve is torn but not at the spinal attachment; neuroma, in which the nerve has torn and healed but scar tissue puts pressure on the injured nerve and prevents it from conducting signals to the muscles; and neuropraxia or stretch, in which the nerve has been damaged but not torn. Neuropraxia is the most common type of brachial plexus injury. Symptoms of brachial plexus injury may include a limp or paralyzed arm; lack of muscle control in the arm, hand, or wrist; and lack of feeling or sensation in the arm or hand."
What are the treatments for Erb-Duchenne and Dejerine-Klumpke Palsies ?,0000049-2,treatment,"Some brachial plexus injuries may heal without treatment. Many children who are injured during birth improve or recover by 3 to 4 months of age. Treatment for brachial plexus injuries includes physical therapy and, in some cases, surgery."
What is the outlook for Erb-Duchenne and Dejerine-Klumpke Palsies ?,0000049-3,outlook,"The site and type of brachial plexus injury determines the prognosis. For avulsion and rupture injuries, there is no potential for recovery unless surgical reconnection is made in a timely manner. The potential for recovery varies for neuroma and neuropraxia injuries. Most individuals with neuropraxia injuries recover spontaneously with a 90-100 percent return of function."
what research (or clinical trials) is being done for Erb-Duchenne and Dejerine-Klumpke Palsies ?,0000049-4,research,The NINDS conducts and supports research on injuries to the nervous system such as brachial plexus injuries. Much of this research is aimed at finding ways to prevent and treat these disorders.
What is (are) Brachial Plexus Injuries ?,0000050-1,information,"The brachial plexus is a network of nerves that conducts signals from the spine to the shoulder, arm, and hand. Brachial plexus injuries are caused by damage to those nerves. Symptoms may include a limp or paralyzed arm; lack of muscle control in the arm, hand, or wrist; and a lack of feeling or sensation in the arm or hand. Brachial plexus injuries can occur as a result of shoulder trauma, tumors, or inflammation. There is a rare syndrome called Parsonage-Turner Syndrome, or brachial plexitis, which causes inflammation of the brachial plexus without any obvious shoulder injury. This syndrome can begin with severe shoulder or arm pain followed by weakness and numbness. In infants, brachial plexus injuries may happen during birth if the babys shoulder is stretched during passage in the birth canal (see Brachial Plexus Birth Injuries). 
                
The severity of a brachial plexus injury is determined by the type of damage done to the nerves. The most severe type, avulsion, is caused when the nerve root is severed or cut from the spinal cord. There is also an incomplete form of avulsion in which part of the nerve is damaged and which leaves some opportunity for the nerve to slowly recover function. Neuropraxia, or stretch injury, is the mildest type of injury Neuropraxia damages the protective covering of the nerve, which causes problems with nerve signal conduction, but does not always damage the nerve underneath."
What are the treatments for Brachial Plexus Injuries ?,0000050-2,treatment,"Some brachial plexus injuries may heal without treatment. Many children who are injured during birth improve or recover by 3 to 4 months of age. Treatment for brachial plexus injuries includes physical therapy and, in some cases, surgery."
What is the outlook for Brachial Plexus Injuries ?,0000050-3,outlook,"The site and type of brachial plexus injury determines the prognosis. For avulsion and rupture injuries, there is no potential for recovery unless surgical reconnection is made in a timely manner. The potential for recovery varies for neuroma and neuropraxia injuries. Most individuals with neuropraxia injuries recover spontaneously with a 90-100% return of function."
what research (or clinical trials) is being done for Brachial Plexus Injuries ?,0000050-4,research,The NINDS conducts and supports research on injuries to the nervous system such as brachial plexus injuries. Much of this research is aimed at finding ways to prevent and treat these disorders.
What is (are) Orthostatic Hypotension ?,0000051-1,information,"Orthostatic hypotension is a sudden fall in blood pressure that occurs when a person assumes a standing position. It is due to a lesion of the baroreflex loop, which senses a change in blood pressure and adjusts heart rate and activates sympathetic nerve system fibers to cause the blood vessels to narrow and correct blood pressure. It may also be caused by hypovolemia (a decreased amount of blood in the body), resulting from the excessive use of diuretics, vasodilators, or other types of drugs, dehydration, or prolonged bed rest. The disorder may be associated with Addison's disease, diabetes, and certain neurological disorders including Multiple System Atrophy with Orthostatic Hypotension (formerly known as Shy-Drager syndrome), autonomic system neuropathies, and other dysautonomias. Symptoms, which generally occur after sudden standing, include dizziness, lightheadedness, blurred vision, and syncope (temporary loss of consciousness)."
What are the treatments for Orthostatic Hypotension ?,0000051-2,treatment,"When orthostatic hypotension is caused by hypovolemia due to medications, the disorder may be reversed by adjusting the dosage or by discontinuing the medication. When the condition is caused by prolonged bed rest, improvement may occur by sitting up with increasing frequency each day. In some cases, physical counterpressure such as elastic hose or whole-body inflatable suits may be required. Dehydration is treated with salt and fluids. More severe cases can be treated with drugs, such as midodrine, to raise blood pressure."
What is the outlook for Orthostatic Hypotension ?,0000051-3,outlook,The prognosis for individuals with orthostatic hypotension depends on the underlying cause of the condition.
what research (or clinical trials) is being done for Orthostatic Hypotension ?,0000051-4,research,The NINDS supports research on conditions such as neurogenic orthostatic hypotension aimed at increasing scientific understanding of the condition and finding ways to treat and prevent it.
What is (are) Brain and Spinal Tumors ?,0000052-1,information,"Tumors of the brain and spinal cord are abnormal growths of tissue found inside the skull or the bony spinal column. The brain and spinal cord are the primary components of the central nervous system (CNS). Benign tumors are noncancerous, and malignant tumors are cancerous. The CNS is housed within rigid, bony quarters (i.e., the skull and spinal column), so any abnormal growth, whether benign or malignant, can place pressure on sensitive tissues and impair function. Tumors that originate in the brain or spinal cord are called primary tumors. Most primary tumors are caused by out-of-control growth among cells that surround and support neuron, specific genetic disease (such as neurofibromatosis type 1 and tuberous sclerosis), or from exposure to radiation or cancer-causing chemicals. Metastatic, or secondary, tumors in the CNS are caused by cancer cells that break away from a primary tumor located in another region of the body. Tumors can place pressure on sensitive tissues and impair function..Symptoms of brain tumors include headaches, seizures, nausea and vomiting, poor vision or hearing, changes in behavior, unclear thinking, and unsteadiness. Spinal cord tumor symptoms include pain, numbness, and paralysis. Diagnosis is made after a neurological examination, special imaging techniques (computed tomography, and magnetic resonance imaging, positron emission tomography), laboratory tests, and a biopsy (in which a sample of tissue is taken from a suspected tumor and examined)."
What are the treatments for Brain and Spinal Tumors ?,0000052-2,treatment,"The three most commonly used treatments are surgery, radiation, and chemotherapy. Doctors also may prescribe steroids to reduce the tumor-related swelling inside the CNS."
What is the outlook for Brain and Spinal Tumors ?,0000052-3,outlook,"Symptoms of brain and spinal cord tumors generally develop slowly and worsen over time unless they are treated. The tumor may be classified as benign or malignant and given a numbered score that reflects its rate of malignancy. This score can help doctors determine how to treat the tumor and predict the likely outcome, or prognosis, for the individual."
what research (or clinical trials) is being done for Brain and Spinal Tumors ?,0000052-4,research,"Scientists continue to investigate ways to better understand, diagnose, and treat CNS tumors. Experimental treatment options may include new drugs, gene therapy, surgery , radiation, biologic modulators that enhance the body's overall immune system to recognize and fight cancer cells, and a combination of therapies. Of particular interest to scientists is the development of tailored therapeutics--involving a combination of targeted agents that use different molecules to reduce tumor gene activity and suppress uncontrolled growth by killing or reducing the production of tumor cells--to treat tumors based on their genetic makeup. Researchers continue to search for additional clinical biomarkers (molecules or other substances in the blood or tissue that can be used to diagnose or monitor a particular disorder) of CNS tumors. Other researchers are testing different drugs and molecules to see if they can modulate the normal activity of the blood-brain barrier and better target tumor cells and associated blood vessels. Also under investigation are ways to improve drug delivery to the tumor and to prevent the side-effects of cancer treatments."
