question,question_id,question_type,answer,focus,id,source,url,cui,semanticType,semanticGroup
What is the action of Black tea and how does it work ?,0000015-3,how does it work,No information found.,Black tea,0000015,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/997.html,,,
Are there safety concerns or special precautions about Black tea ?,0000015-4,precautions,No information found.,Black tea,0000015,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/997.html,,,
Are there interactions between Black tea and other medications ?,0000015-5,interactions with medications,"Major Do not take this combination. Ephedrine Black tea contains caffeine. Caffeine is a stimulant drug. Stimulant drugs speed up the nervous system. Ephedrine is also a stimulant drug. Taking black tea along with ephedrine might cause too much stimulation and sometimes serious side effects and heart problems. Moderate Be cautious with this combination. Adenosine (Adenocard) Black tea contains caffeine. The caffeine in black tea might block the effects of adenosine, which is used to do a test called a cardiac stress test. Stop drinking black tea or other caffeine-containing products at least 24 hours before a cardiac stress test. Antibiotics (Quinolone antibiotics) Black tea contains caffeine. The body breaks down caffeine to get rid of it. Some antibiotics might decrease how quickly the body breaks down caffeine. Taking these antibiotics along with black tea can increase the risk of side effects including jitteriness, headache, and increased heart rate. Birth control pills (Contraceptive drugs) Black tea contains caffeine. The body breaks down caffeine to get rid of it. Birth control pills can decrease how quickly the body breaks down caffeine. This might increase the risk for side effects from caffeine, such as jitteriness, headache, and fast heartbeat. Carbamazepine (Tegretol) Black tea contains caffeine. Caffeine can decrease the effects of carbamazepine. Taking black tea with carbamazepine might decrease the effects of carbamazepine and increase the risk of seizures in some people. Cimetidine (Tagamet) Black tea contains caffeine. The body breaks down caffeine to get rid of it. Cimetidine can decrease how quickly your body breaks down caffeine. Taking cimetidine along with black tea might increase the chance of caffeine side effects including jitteriness, headache, fast heartbeat, and others. Clozapine (Clozaril) The body breaks down clozapine to get rid of it. The caffeine in black tea seems to decrease how quickly the body breaks down clozapine. Taking black tea along with clozapine may increase the effects and side effects of clozapine. Dipyridamole (Persantine) Black tea contains caffeine. The caffeine in black tea might block the effects of dipyridamole. Dipyridamole is often used by doctors to do a test on the heart called a cardiac stress test. Stop drinking black tea or other caffeine-containing products at least 24 hours before a cardiac stress test. Disulfiram (Antabuse) Black tea contains caffeine. The body breaks down caffeine to get rid of it. Disulfiram can decrease how quickly the body gets rid of caffeine. Taking black tea along with disulfiram might increase the effects and side effects of caffeine including jitteriness, hyperactivity, irritability, and others. Estrogens Black tea contains caffeine. The body breaks down caffeine to get rid of it. Estrogens can decrease how quickly the body breaks down caffeine. Taking estrogen and drinking black tea can increase the risk of side effects such as jitteriness, headache, and fast heartbeat. Ethosuximide (Zarontin) Ethosuximide is a drug used to treat seizures. Caffeine in black tea can decrease the effects of ethosuximide. Taking black tea with ethosuximide might decrease the effects of ethosuximide and increase the risk of seizures in some people. Felbamate (Felbatol) Felbamate is a drug used to treat seizures. Caffeine in black tea might decrease the effects of felbamate. Taking black tea with felbamate might decrease the effects of felbamate and increase the risk of seizures in some people. Flutamide (Eulexin) The body breaks down flutamide to get rid of it. Caffeine in black tea might decrease how quickly the body gets rid of flutamide. This could increase the levels of flutamide in the body and increase the risk of side effects. Fluvoxamine (Luvox) Black tea contains caffeine. The body breaks down caffeine to get rid of it. Fluvoxamine can decrease how quickly the body breaks down caffeine. Taking caffeine along with fluvoxamine might increase the effects and side effects of caffeine. Lithium The caffeine in black tea can increase how quickly the body gets rid of lithium. If you consume black tea regularly and also take lithium, don't stop black tea suddenly. Instead, slowly reduce intake of black tea. Stopping caffeine too quickly can increase the side effects of lithium. Medications for asthma (Beta-adrenergic agonists) Black tea contains caffeine. Caffeine can stimulate the heart. Some medications for asthma can also stimulate the heart. Taking caffeine with some medications for asthma might cause too much stimulation and cause heart problems. Medications for depression (MAOIs) Black tea contains caffeine. There is some concern that caffeine can interact with certain medications, called MAOIs. If caffeine is taken with these medications, it might increase the risk for serious side effects including fast heartbeat and very high blood pressure. Some common MAOIs include phenelzine (Nardil), selegiline (Zelapar), and tranylcypromine (Parnate). Medications moved by pumps in cells (Organic anion-transporting polypeptide substrates) Some medications are moved in and out of cells by pumps. Black tea might change how these pumps work and change how much medication stays in the body. In some cases, this might change the effects and side effects of a medication. Medications that decrease break down of other medications by the liver (Cytochrome P450 CYP1A2 (CYP1A2) inhibitors) Black tea is changed and broken down by the liver. Some drugs decrease how quickly the liver changes and breaks down black tea. This could change the effects and side effects of black tea. Medications that slow blood clotting (Anticoagulant / Antiplatelet drugs) Black tea might slow blood clotting. Taking black tea along with medications that also slow blood clotting might increase the risk of bruising and bleeding. Nicotine Black tea contains caffeine. Caffeine can stimulate the heart. Nicotine can also stimulate the heart. Taking caffeine with nicotine might cause too much stimulation and cause heart problems, such as increased heart rate or blood pressure. Pentobarbital (Nembutal) The stimulant effects of the caffeine in black tea might block the sleep-producing effects of pentobarbital. Phenobarbital (Luminal) Phenobarbital is a drug used to treat seizures. Caffeine in black tea might decrease the effects of phenobarbital and increase the risk of seizures in some people. Phenylpropanolamine The caffeine in black tea can stimulate the body. Phenylpropanolamine can also stimulate the body. Taking caffeine and phenylpropanolamine together might cause too much stimulation and increase heartbeat, blood pressure, and cause nervousness. Phenytoin (Dilantin) Phenytoin is a drug used to treat seizures. Caffeine in black tea can decrease the effects of phenytoin. Taking black tea with phenytoin might decrease the effects of phenytoin and increase the risk of seizures in some people. Pioglitazone (Actos) Caffeine in black tea might increase the amount of pioglitazone that the body absorbs. Drinking black tea might increase the effects and adverse effects of pioglitazone. Riluzole (Rilutek) Drinking black tea might decrease how quickly the body breaks down riluzole and increase the effects and side effects of riluzole. Rosuvastatin (Crestor) Black tea might decrease how much rosuvastatin the body absorbs. Taking black tea along with rosuvastatin might decrease the effects of rosuvastatin. Stimulant drugs Stimulants, such as amphetamines and cocaine, speed up the nervous system. By speeding up the nervous system, stimulant medications can increase blood pressure and speed up the heartbeat. Black tea contains caffeine. Caffeine can also speed up the nervous system. Taking black tea along with stimulant drugs might cause serious problems including increased heart rate and high blood pressure. Theophylline Black tea contains caffeine. Caffeine works similarly to theophylline. Caffeine can also decrease how quickly the body gets rid of theophylline. This might cause increased effects and side effects of theophylline. Valproate Valproate is a drug used to treat seizures. Caffeine in black tea might decrease the effects of valproate and increase the risk of seizures in some people. Verapamil (Calan, others) Verapamil can decrease how quickly the body gets rid of caffeine. Drinking black tea and taking verapamil can increase the risk of side effects for caffeine including jitteriness, headache, and an increased heartbeat. Warfarin (Coumadin) Warfarin is used to slow blood clotting. Large amounts of black tea might decrease the effects of warfarin. This might increase the risk of clotting. Be sure to have your blood checked regularly. The dose of your warfarin might need to be changed. Water pills (Diuretic drugs) Black tea contains caffeine. Caffeine, especially in large amounts, can reduce potassium levels in the body. ""Water pills"" can also decrease potassium levels in the body. Taking large amounts of caffeine along with ""water pills"" might decrease potassium levels too much. Minor Be watchful with this combination. Alcohol (Ethanol) Black tea contains caffeine. The body breaks down the caffeine in black tea to get rid of it. Alcohol can decrease how quickly the body breaks down caffeine. Taking black tea along with alcohol might increase the risk of caffeine side effects such as jitteriness, headache, and fast heartbeat. Fluconazole (Diflucan) Black tea contains caffeine. Fluconazole might decrease how quickly the body gets rid of caffeine. This could increase the levels of caffeine in the body and increase the risk of side effects such as nervousness, anxiety, and insomnia. Flurbiprofen (Ansaid, others) There has been some concern that black tea might reduce the breakdown of flurbiprofen. But this does not seem to occur in humans. Medications for depression (Tricyclic antidepressants) Black tea contains chemicals called tannins. Tannins can bind to many medications, including tricyclic antidepressants, and decrease how much medicine the body absorbs. To avoid this interaction, avoid black tea 1 hour before and 2 hours after taking tricyclic antidepressants. Medications for diabetes (Antidiabetes drugs) Black tea contains caffeine. Caffeine can either increase or decrease blood sugar. Diabetes medications are used to lower blood sugar. Taking some medications for diabetes along with caffeine might change the effects of the diabetes medications. Monitor your blood sugar closely. The dose of your diabetes medication might need to be changed. Metformin (Glucophage) Black tea contains caffeine. Metformin can decrease how quickly the body breaks down caffeine. Taking black tea along with metformin might increase the effects and side effects of caffeine. Methoxsalen (Oxsoralen) Black tea contains caffeine. Methoxsalen can decrease how quickly the body breaks down caffeine. Taking caffeine along with methoxsalen might increase the effects and side effects of caffeine. Mexiletine (Mexitil) Black tea contains caffeine. Mexiletine can decrease how quickly the body breaks down caffeine. Taking mexiletine along with black tea might increase the side effects of caffeine. Phenothiazines Black tea contains chemicals called tannins. Tannins can bind to many medications, including phenothiazines, and decrease how much medicine the body absorbs. To avoid this interaction, avoid black tea one hour before and two hours after taking phenothiazine medications. There is also a concern that phenothiazines might reduce the breakdown of caffeine. This might increase levels of caffeine in the body and increase the risk of caffeine side effects. Terbinafine (Lamisil) Black tea contains caffeine. Terbinafine can decrease how quickly the body gets rid of caffeine. Taking terbinafine with black tea might increase the risk of side effects, such as jitteriness, headache, and increased heartbeat. Tiagabine (Gabitril) Black tea contains caffeine. Taking caffeine over a long time period along with tiagabine can increase the amount of tiagabine in the body. This might increase the effects and side effects of tiagabine. Ticlopidine (Ticlid) Ticlopidine can decrease how quickly the body gets rid of caffeine. Taking black tea along with ticlopidine might increase the effects and side effects of caffeine, including jitteriness, hyperactivity, irritability, and others.",Black tea,0000015,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/997.html,,,
Are there interactions between Black tea and herbs and supplements ?,0000015-6,interactions with herbs and supplements,"Bitter orange Using bitter orange along with products that contain caffeine, such as black tea, can increase blood pressure and heart rate in otherwise healthy adults with normal blood pressure. This could increase the risk of serious heart problems. Caffeine-containing herbs and supplements Black tea contains caffeine. Taking it along with other supplements that contain caffeine might increase caffeine side effects. Examples of supplements that contain caffeine include coffee, green tea, guarana, and yerba mate. Calcium High caffeine intake from foods and beverages, including black tea, flushes calcium out of the body in the urine. This might lower calcium levels in the body. Cordyceps Black tea contains caffeine. Cordyceps might increase how quickly the body gets rid of caffeine. This might decrease the effects of caffeine. Creatine Combining caffeine, ephedra, and creatine might increase the risk of serious unwanted side effects. One athlete who used this combination, as well as some other supplements to improve performance, suffered a stroke. Researchers worry the stroke might have been caused by the supplements. Danshen Black tea contains caffeine. Danshen can decrease how quickly the body gets rid of caffeine. Drinking black tea and taking danshen might increase the risk of side effects, including jitteriness, headache, and an increased heartbeat. Echinacea Black tea contains caffeine. Echinacea can decrease how quickly the body gets rid of caffeine. Drinking black tea and taking echinacea might increase the risk of side effects, including jitteriness, headache, and an increased heartbeat. Ephedra Black tea contains caffeine. Using ephedra with caffeine might increase the risk of serious life-threatening or disabling conditions such as hypertension, heart attack, stroke, seizures, and death. Avoid this combination. Folic acid Black tea might reduce the amount of folic acid that the body can absorb and use. Genistein-containing herbs and supplements Black tea contains caffeine. A chemical called genistein can decrease how quickly the body gets rid of caffeine. Drinking black tea and taking genistein might increase the risk of side effects for caffeine, including jitteriness, headache, and an increased heartbeat. Examples of supplements that contain genistein include cumin, dyer's broom, kudzu, red clover, and soy. Herbs and supplements that might slow blood clotting Black tea might slow blood clotting and increase the risk of bleeding. Taking it with other supplements with similar effects might increase the risk of bleeding in some people. Examples of supplements with this effect include garlic, ginger, ginkgo, nattokinase, and Panax ginseng. Iron Black tea might reduce the absorption of iron supplements. For most people, this effect will not be enough to make a difference in their health. But people who don't have enough iron should drink black tea between meals rather than with meals to avoid this interaction. Kudzu Black tea contains caffeine. Kudzu can decrease how quickly the body gets rid of caffeine. Drinking black tea and taking kudzu might increase the risk of side effects, including jitteriness, headache, and an increased heartbeat. Magnesium Drinking large amounts of black tea can increase the amount of magnesium that is flushed out in the urine. This might lower magnesium levels in the body. Melatonin Black tea contains caffeine. Taking caffeine and melatonin together can increase melatonin levels. Caffeine can also increase natural melatonin levels in healthy individuals.",Black tea,0000015,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/997.html,,,
Are there interactions between Black tea and foods ?,0000015-7,interactions with foods,Black tea appears to reduce absorption of iron from foods. Drinking black tea in between meals rather than with meals should reduce this concern. Adding milk to black tea appears to reduce some of the heart health benefits of drinking tea. Milk might bind with the antioxidants in tea and keep them from being absorbed. But it's not clear if this is a real concern.,Black tea,0000015,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/997.html,,,
What is the dosage of Black tea ?,0000015-8,dose,No information found.,Black tea,0000015,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/997.html,,,
What is Bladderwrack ?,0000016-1,information,"Fucus vesiculosus is a type of brown seaweed that grows in the Baltic Sea, Atlantic Ocean, and North Pacific Ocean. The whole plant is used as medicine. Fucus vesiculosus contains varying amounts of iodine. Iodine might help prevent or treat some thyroid disorders. Fucus vesiculosus also might have antidiabetic effects and affect hormone levels.  People use Fucus vesiculosus for thyroid disorders, obesity, aging skin, constipation, and many other conditions, but there is no good scientific evidence to support these uses.  Don't confuse Fucus vesiculosus with algin, bladderwort, blue-green algae, ecklonia cava, or laminaria. These are not the same.",Bladderwrack,0000016,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/726.html,,,
How effective is Bladderwrack ?,0000016-2,how effective is it,"There is interest in using Fucus vesiculosus for a number of purposes, but there isn't enough reliable information to say whether it might be helpful.",Bladderwrack,0000016,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/726.html,,,
What is the action of Bladderwrack and how does it work ?,0000016-3,how does it work,No information found.,Bladderwrack,0000016,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/726.html,,,
Are there safety concerns or special precautions about Bladderwrack ?,0000016-4,precautions,No information found.,Bladderwrack,0000016,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/726.html,,,
Are there interactions between Bladderwrack and other medications ?,0000016-5,interactions with medications,Moderate Be cautious with this combination. Amiodarone (Cordarone) Fucus vesiculosus and amiodarone both contain iodine. Taking fucus vesiculosus with amiodarone might increase the levels of iodine in the blood. Too much iodine in the blood can cause side effects that affect the thyroid. Lithium Fucus vesiculosus can contain large amounts of iodine. Large amounts of iodine can change thyroid function. Lithium can also change thyroid function. Taking Fucus vesiculosus along with lithium might increase the risk of thyroid function changes. Medications for an overactive thyroid (Antithyroid drugs) Fucus vesiculosus can contain large amounts of iodine. Iodine can increase or decrease thyroid function. Taking Fucus vesiculosus along with medications for an overactive thyroid might change the effects of these medications. Medications that slow blood clotting (Anticoagulant / Antiplatelet drugs) Fucus vesiculosus might slow blood clotting. Taking Fucus vesiculosus along with medications that also slow blood clotting might increase the risk of bruising and bleeding. Thyroid hormone Fucus vesiculosus contains iodine. Iodine can increase or decrease thyroid function. Taking Fucus vesiculosus along with thyroid hormone medications might increase the effects of these medications. Minor Be watchful with this combination. Medications changed by the liver (Cytochrome P450 2C8 (CYP2C8) substrates) Some medications are changed and broken down by the liver. Fucus vesiculosus might change how quickly the liver breaks down these medications. This could change the effects and side effects of these medications. Medications changed by the liver (Cytochrome P450 2C9 (CYP2C9) substrates) Some medications are changed and broken down by the liver. Fucus vesiculosus might change how quickly the liver breaks down these medications. This could change the effects and side effects of these medications. Medications changed by the liver (Cytochrome P450 2D6 (CYP2D6) substrates) Some medications are changed and broken down by the liver. Fucus vesiculosus might change how quickly the liver breaks down these medications. This could change the effects and side effects of these medications. Medications changed by the liver (Cytochrome P450 3A4 (CYP3A4) substrates) Some medications are changed and broken down by the liver. Fucus vesiculosus might change how quickly the liver breaks down these medications. This could change the effects and side effects of these medications.,Bladderwrack,0000016,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/726.html,,,
Are there interactions between Bladderwrack and herbs and supplements ?,0000016-6,interactions with herbs and supplements,"Herbs and supplements that might slow blood clotting Fucus vesiculosus might slow blood clotting and increase the risk of bleeding. Taking it with other supplements with similar effects might increase the risk of bleeding in some people. Examples of supplements with this effect include garlic, ginger, ginkgo, nattokinase, and Panax ginseng. Iodine-containing herbs and supplements Fucus vesiculosus contains iodine. Taking Fucus vesiculosus with other products that contain iodine might cause iodine levels to go too high. This can cause side effects, such as changes in thyroid function. Examples of supplements that contain iodine include seaweed products, such as dulse and laminaria. Strontium Fucus vesiculosus contains alginate. Alginate can reduce the absorption of strontium. Taking Fucus vesiculosus with strontium supplements might reduce the absorption of strontium.",Bladderwrack,0000016,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/726.html,,,
Are there interactions between Bladderwrack and foods ?,0000016-7,interactions with foods,There are no known interactions with foods.,Bladderwrack,0000016,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/726.html,,,
What is the dosage of Bladderwrack ?,0000016-8,dose,No information found.,Bladderwrack,0000016,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/726.html,,,
What is Blessed thistle ?,0000017-1,information,"Blessed thistle (Cnicus benedictus) is a flowering plant with sharp prickles on the stems and leaves. It's native to the Mediterranean region. Blessed thistle contains chemicals called tannins, which might help with diarrhea, cough, and swelling.  People use blessed thistle for indigestion, infections, wounds, and many other conditions, but there is no good scientific evidence to support these uses. Don't confuse blessed thistle with milk thistle. These are not the same.",Blessed thistle,0000017,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/94.html,,,
How effective is Blessed thistle ?,0000017-2,how effective is it,"There is interest in using blessed thistle for a number of purposes, but there isn't enough reliable information to say whether it might be helpful.",Blessed thistle,0000017,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/94.html,,,
What is the action of Blessed thistle and how does it work ?,0000017-3,how does it work,No information found.,Blessed thistle,0000017,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/94.html,,,
Are there safety concerns or special precautions about Blessed thistle ?,0000017-4,precautions,No information found.,Blessed thistle,0000017,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/94.html,,,
Are there interactions between Blessed thistle and other medications ?,0000017-5,interactions with medications,"Minor Be watchful with this combination. Antacids Antacids are used to decrease stomach acid. Blessed thistle can increase stomach acid. Taking blessed thistle might decrease the effects of antacids. Medications that decrease stomach acid (H2-blockers) H2-blockers are used to decrease stomach acid. Blessed thistle can increase stomach acid. Taking blessed thistle might decrease the effects of H2-blockers.  Some common H2-blockers include cimetidine (Tagamet), ranitidine (Zantac), and famotidine (Pepcid). Medications that decrease stomach acid (Proton pump inhibitors) Proton pump inhibitors are used to decrease stomach acid. Blessed thistle can increase stomach acid. Taking blessed thistle might decrease the effects of proton pump inhibitors.  Some common proton pump inhibitors include omeprazole (Prilosec), lansoprazole (Prevacid), rabeprazole (Aciphex), pantoprazole (Protonix), and esomeprazole (Nexium).",Blessed thistle,0000017,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/94.html,,,
Are there interactions between Blessed thistle and herbs and supplements ?,0000017-6,interactions with herbs and supplements,There are no known interactions with herbs and supplements.,Blessed thistle,0000017,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/94.html,,,
Are there interactions between Blessed thistle and foods ?,0000017-7,interactions with foods,There are no known interactions with foods.,Blessed thistle,0000017,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/94.html,,,
What is the dosage of Blessed thistle ?,0000017-8,dose,No information found.,Blessed thistle,0000017,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/94.html,,,
What is Blond psyllium ?,0000018-1,information,"Blond psyllium (Plantago ovata) is an herb. Its seed husk is used as a laxative and stool softener and to help reduce cholesterol. Psyllium seed husks absorb water in the stomach and form a large mass. This mass stimulates the bowel in people with constipation. In people with diarrhea, it can slow down the bowel and reduce bowel movements. This mass can also reduce the amount of cholesterol that is absorbed into the body. Blond psyllium is commonly used as a stool softener in people with constipation and hemorrhoids. It is also used for diarrhea, irritable bowel syndrome (IBS), high cholesterol, heart disease, and diabetes. It's used for many other conditions, but there is no good scientific evidence to support most of these other uses.",Blond psyllium,0000018,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/866.html,,,
How effective is Blond psyllium ?,0000018-2,how effective is it,"Natural Medicines Comprehensive Database  rates effectiveness based on scientific evidence according to the following scale:  Effective, Likely Effective, Possibly Effective, Possibly Ineffective, Likely Ineffective, Ineffective, and Insufficient Evidence to Rate. The effectiveness ratings for  BLOND PSYLLIUM  are as follows: Effective for... Constipation . Taking blond psyllium by mouth, alone or as a combination product, can relieve constipation and improve stool consistency.,  Likely effective for...  Heart disease . Blond psyllium is a soluble fiber. Eating foods high in soluble fiber as part of a low-fat, low-cholesterol diet can help prevent heart disease. You must eat at least 7 grams of psyllium husk daily to reduce the risk for heart disease.,  High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia) . Taking blond psyllium by mouth reduces low density lipoprotein (LDL or ""bad"") cholesterol in people with mild to moderate high cholesterol. But it seems to be less effective in older people. ,  Possibly effective for...  Diabetes . Taking blond psyllium by mouth can improve blood sugar control in people with diabetes. But it's not clear if it helps prevent diabetes.,  Diarrhea . Taking blond psyllium by mouth seems to reduce diarrhea symptoms.,  Hemorrhoids . Taking blond psyllium by mouth seems to relieve bleeding and pain in people with hemorrhoids.,  A long-term disorder of the large intestines that causes stomach pain (irritable bowel syndrome or IBS) . Taking blond psyllium by mouth can relieve constipation and improve stomach pain, diarrhea, and overall well-being in people with IBS. It might take up to four weeks for it to help.,   Treating side effects of a drug called Orlistat (Xenical, Alli) . Taking blond psyllium by mouth with each dose of orlistat seems to relieve orlistat side effects such as gas, stomach rumbling, stomach cramps, and oily spotting.,   Possibly ineffective for... Non-cancerous growths in the large intestine and rectum (colorectal adenoma) . Taking blond psyllium by mouth doesn't seem to reduce the risk of colorectal adenoma. ,  There is interest in using blond psyllium for a number of other purposes, but there isn't enough reliable information to say whether it might be helpful.",Blond psyllium,0000018,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/866.html,,,
What is the action of Blond psyllium and how does it work ?,0000018-3,how does it work,No information found.,Blond psyllium,0000018,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/866.html,,,
Are there safety concerns or special precautions about Blond psyllium ?,0000018-4,precautions,No information found.,Blond psyllium,0000018,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/866.html,,,
Are there interactions between Blond psyllium and other medications ?,0000018-5,interactions with medications,"Moderate Be cautious with this combination. Carbamazepine (Tegretol) Blond psyllium contains large amounts of fiber. Fiber can decrease how much carbamazepine the body absorbs. This might decrease the effects of carbamazepine. Lithium Blond psyllium contains large amounts of fiber. Fiber can decrease how much lithium the body absorbs. To avoid this interaction, take blond psyllium at least one hour after lithium. Metformin (Glucophage) Blond psyllium might change how much metformin the body absorbs. This might increase or decrease the effects of metformin. To avoid this interaction, take blond psyllium 30-60 minutes after taking metformin. Olanzapine (Zyprexa) Blond psyllium contains large amounts of fiber. Fiber can decrease how much olanzapine the body absorbs. This might decrease the effects of olanzapine. Minor Be watchful with this combination. Digoxin (Lanoxin) Blond psyllium is high in fiber. Fiber can decrease the absorption and decrease the effects of digoxin. To avoid this interaction, take digoxin one hour before or four hours after blond psyllium. Ethinyl estradiol Ethinyl estradiol is a form of estrogen that's in some estrogen products and birth control pills. Psyllium might decrease how much ethinyl estradiol the body absorbs. But this is unlikely to be a big concern. Medications taken by mouth (Oral drugs) Psyllium contains large amounts of fiber. Fiber can decrease, increase, or have no effect on how much medicine the body absorbs. Taking psyllium along with medicine you take by mouth may impact the effects of your medicine. To avoid this interaction, take psyllium 30-60 minutes after medications you take by mouth.",Blond psyllium,0000018,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/866.html,,,
Are there interactions between Blond psyllium and herbs and supplements ?,0000018-6,interactions with herbs and supplements,"Iron Taking blond psyllium with iron supplements can reduce the amount of iron that the body absorbs. To avoid this interaction, take iron supplements one hour before or four hours after psyllium. Riboflavin Psyllium seems to slightly reduce the amount of riboflavin that the body absorbs. But this probably isn't a big concern.",Blond psyllium,0000018,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/866.html,,,
Are there interactions between Blond psyllium and foods ?,0000018-7,interactions with foods,"Taking psyllium can make it difficult to digest fat from the diet. This can increase the amount of fat lost in the stool. Taking psyllium with meals over a long period of time might also affect nutrient absorption. In some cases, it might be necessary to take vitamin or mineral supplements.",Blond psyllium,0000018,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/866.html,,,
What is the dosage of Blond psyllium ?,0000018-8,dose,No information found.,Blond psyllium,0000018,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/866.html,,,
What is Blueberry ?,0000019-1,information,"Blueberries are edible fruits from the Vaccinium angustifolium plant. Blueberry is a common food and is also sometimes used as medicine. Blueberries are high in fiber, which can help with normal digestion. They also contain vitamin C, other antioxidants, and chemicals that might reduce swelling and destroy cancer cells. People use blueberry for aging, memory and thinking skills, high blood pressure, athletic performance, diabetes, and many other conditions, but there is no good scientific evidence to support these uses. Don't confuse blueberry with bilberry. They are related but they are not the same. In countries outside of the US, the name blueberry is used to refer to the plant that is often called bilberry in the US.  ",Blueberry,0000019,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1013.html,,,
How effective is Blueberry ?,0000019-2,how effective is it,"Natural Medicines Comprehensive Database  rates effectiveness based on scientific evidence according to the following scale:  Effective, Likely Effective, Possibly Effective, Possibly Ineffective, Likely Ineffective, Ineffective, and Insufficient Evidence to Rate. The effectiveness ratings for  BLUEBERRY  are as follows: Possibly ineffective for...  High blood pressure . Eating freeze-dried blueberries or taking blueberry powder by mouth doesn't lower blood pressure in people with high blood pressure or other heart disease risk factors.   ,  There is interest in using blueberry for a number of other purposes, but there isn't enough reliable information to say whether it might be helpful.",Blueberry,0000019,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1013.html,,,
What is the action of Blueberry and how does it work ?,0000019-3,how does it work,No information found.,Blueberry,0000019,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1013.html,,,
Are there safety concerns or special precautions about Blueberry ?,0000019-4,precautions,No information found.,Blueberry,0000019,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1013.html,,,
Are there interactions between Blueberry and other medications ?,0000019-5,interactions with medications,"Minor Be watchful with this combination. Buspirone (BuSpar) Blueberry juice might decrease how fast the body gets rid of buspirone. But this is not likely to be a major concern. Flurbiprofen (Ansaid, others) Blueberry juice might decrease how fast the body gets rid of flurbiprofen. But this is not likely to be a major concern. Medications for diabetes (Antidiabetes drugs) Blueberry fruit or leaf might lower blood sugar levels. Taking blueberry along with diabetes medications might cause blood sugar to drop too low. Monitor your blood sugar closely.",Blueberry,0000019,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1013.html,,,
Are there interactions between Blueberry and herbs and supplements ?,0000019-6,interactions with herbs and supplements,"Herbs and supplements that might lower blood sugar Blueberry fruit or leaf might lower blood sugar. Taking it with other supplements with similar effects might lower blood sugar too much. Examples of supplements with this effect include aloe, bitter melon, cassia cinnamon, chromium, and prickly pear cactus.",Blueberry,0000019,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1013.html,,,
Are there interactions between Blueberry and foods ?,0000019-7,interactions with foods,Drinking milk along with blueberries might lower the potential health benefits of blueberries. Consuming blueberries 1-2 hours before or after drinking milk might prevent this interaction.,Blueberry,0000019,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1013.html,,,
